label,a,rx,ry,N,T_min,T_min_gap,gap_nm,has_gap,T_max,time_s,filename
a0.680_rx0.200_ry0.400_N12,0.68,0.2,0.4,12,0.5077852242422757,0.5077852242422757,151.98552212190634,True,1.2706797580229172,1.5,2d_a0.680_rx0.200_ry0.400_N12.csv
a0.680_rx0.200_ry0.400_N16,0.68,0.2,0.4,16,0.48805440725226573,0.48805440725226573,160.5623518455809,True,0.8685671238272152,1.8,2d_a0.680_rx0.200_ry0.400_N16.csv
a0.680_rx0.200_ry0.400_N20,0.68,0.2,0.4,20,0.30097855835237614,0.30097855835237614,146.51904146225365,True,1.4994531846444152,2.0,2d_a0.680_rx0.200_ry0.400_N20.csv
a0.680_rx0.200_ry0.440_N12,0.68,0.2,0.44,12,0.34874988005416424,0.34874988005416424,160.5623518455809,True,0.9852914388203817,1.5,2d_a0.680_rx0.200_ry0.440_N12.csv
a0.680_rx0.200_ry0.440_N16,0.68,0.2,0.44,16,0.29632371971690846,0.29632371971690846,160.5623518455809,True,0.8230815871317508,1.8,2d_a0.680_rx0.200_ry0.440_N16.csv
a0.680_rx0.200_ry0.440_N20,0.68,0.2,0.44,20,0.2034307220023881,0.2034307220023881,160.5623518455809,True,0.588938714819447,2.0,2d_a0.680_rx0.200_ry0.440_N20.csv
a0.680_rx0.220_ry0.200_N12,0.68,0.22,0.2,12,0.21399031292471962,0.21399031292471962,160.5623518455809,True,0.48785295849374744,1.5,2d_a0.680_rx0.220_ry0.200_N12.csv
a0.680_rx0.220_ry0.200_N16,0.68,0.22,0.2,16,0.1109002802634211,0.1109002802634211,160.5623518455809,True,0.4156286829250061,1.8,2d_a0.680_rx0.220_ry0.200_N16.csv
a0.680_rx0.220_ry0.200_N20,0.68,0.22,0.2,20,0.07471715268319151,0.07471715268319151,138.68735184558068,True,1.162930782321422,2.0,2d_a0.680_rx0.220_ry0.200_N20.csv
a0.680_rx0.220_ry0.240_N12,0.68,0.22,0.24,12,0.24071401617134594,0.24071401617134594,160.5623518455809,True,0.45968770579501267,1.5,2d_a0.680_rx0.220_ry0.240_N12.csv
a0.680_rx0.220_ry0.240_N16,0.68,0.22,0.24,16,0.14302579028689733,0.14302579028689733,160.5623518455809,True,0.4462608333252131,1.8,2d_a0.680_rx0.220_ry0.240_N16.csv
a0.680_rx0.220_ry0.240_N20,0.68,0.22,0.24,20,0.08965676214494901,0.08965676214494901,135.69520766813162,True,1.4550882012969935,2.0,2d_a0.680_rx0.220_ry0.240_N20.csv
a0.680_rx0.220_ry0.280_N12,0.68,0.22,0.28,12,0.31633932749117194,0.31633932749117194,160.5623518455809,True,0.7048013708214409,1.6,2d_a0.680_rx0.220_ry0.280_N12.csv
a0.680_rx0.220_ry0.280_N16,0.68,0.22,0.28,16,0.22353632109021562,0.22353632109021562,160.5623518455809,True,0.4912988334660283,1.8,2d_a0.680_rx0.220_ry0.280_N16.csv
a0.680_rx0.220_ry0.280_N20,0.68,0.22,0.28,20,0.1490195759163043,0.1490195759163043,137.18989578637616,True,1.5006743443889183,2.0,2d_a0.680_rx0.220_ry0.280_N20.csv
a0.680_rx0.220_ry0.320_N12,0.68,0.22,0.32,12,0.41827343161265446,0.41827343161265446,160.5623518455809,True,0.7679768312651722,1.5,2d_a0.680_rx0.220_ry0.320_N12.csv
a0.680_rx0.220_ry0.320_N16,0.68,0.22,0.32,16,0.349614960130028,0.349614960130028,160.5623518455809,True,0.5459156821901177,1.8,2d_a0.680_rx0.220_ry0.320_N16.csv
a0.680_rx0.220_ry0.320_N20,0.68,0.22,0.32,20,0.25115366753673424,0.25115366753673424,146.51904146225365,True,1.0414157125887589,2.0,2d_a0.680_rx0.220_ry0.320_N20.csv
a0.680_rx0.220_ry0.360_N12,0.68,0.22,0.36,12,0.463005755827534,0.463005755827534,160.5623518455809,True,0.7674779893648209,1.5,2d_a0.680_rx0.220_ry0.360_N12.csv
a0.680_rx0.220_ry0.360_N16,0.68,0.22,0.36,16,0.4337533129934109,0.4337533129934109,160.5623518455809,True,0.6946616268131303,1.8,2d_a0.680_rx0.220_ry0.360_N16.csv
a0.680_rx0.220_ry0.360_N20,0.68,0.22,0.36,20,0.3538249812110774,0.3538249812110774,142.5937468706411,True,1.380260978249256,2.0,2d_a0.680_rx0.220_ry0.360_N20.csv
a0.680_rx0.220_ry0.400_N12,0.68,0.22,0.4,12,0.47085926472805234,0.47085926472805234,156.26269815782348,True,1.2043361405763384,1.5,2d_a0.680_rx0.220_ry0.400_N12.csv
a0.680_rx0.220_ry0.400_N16,0.68,0.22,0.4,16,0.46313568038208586,0.46313568038208586,160.5623518455809,True,0.5757949147156971,1.8,2d_a0.680_rx0.220_ry0.400_N16.csv
a0.680_rx0.220_ry0.400_N20,0.68,0.22,0.4,20,0.23710080645383272,0.23710080645383272,151.07189187170502,True,1.2405943265489112,2.0,2d_a0.680_rx0.220_ry0.400_N20.csv
a0.680_rx0.220_ry0.440_N12,0.68,0.22,0.44,12,0.30446040994183937,0.30446040994183937,160.5623518455809,True,0.8570541819628321,1.5,2d_a0.680_rx0.220_ry0.440_N12.csv
a0.680_rx0.220_ry0.440_N16,0.68,0.22,0.44,16,0.27076982518824216,0.27076982518824216,160.5623518455809,True,0.6779286928602665,1.8,2d_a0.680_rx0.220_ry0.440_N16.csv
a0.680_rx0.220_ry0.440_N20,0.68,0.22,0.44,20,0.17194891003176627,0.17194891003176627,160.5623518455809,True,0.6903669466465154,2.0,2d_a0.680_rx0.220_ry0.440_N20.csv
a0.680_rx0.240_ry0.200_N12,0.68,0.24,0.2,12,0.2274331459263384,0.2274331459263384,160.5623518455809,True,0.5689333629009743,1.5,2d_a0.680_rx0.240_ry0.200_N12.csv
a0.680_rx0.240_ry0.200_N16,0.68,0.24,0.2,16,0.13755322943778023,0.13755322943778023,160.5623518455809,True,0.39822966874289695,1.8,2d_a0.680_rx0.240_ry0.200_N16.csv
a0.680_rx0.240_ry0.200_N20,0.68,0.24,0.2,20,0.0868461802646228,0.0868461802646228,135.9939242249484,True,1.2543227678678497,2.0,2d_a0.680_rx0.240_ry0.200_N20.csv
a0.680_rx0.240_ry0.240_N12,0.68,0.24,0.24,12,0.247390404692321,0.247390404692321,160.5623518455809,True,0.5547779018297965,1.6,2d_a0.680_rx0.240_ry0.240_N12.csv
a0.680_rx0.240_ry0.240_N16,0.68,0.24,0.24,16,0.1591960674370632,0.1591960674370632,160.5623518455809,True,0.4103228864875793,1.8,2d_a0.680_rx0.240_ry0.240_N16.csv
a0.680_rx0.240_ry0.240_N20,0.68,0.24,0.24,20,0.10487743934063543,0.10487743934063543,136.59168881617438,True,1.3689368642115767,2.0,2d_a0.680_rx0.240_ry0.240_N20.csv
a0.680_rx0.240_ry0.280_N12,0.68,0.24,0.28,12,0.30820670469532246,0.30820670469532246,160.5623518455809,True,0.8056387871091094,1.6,2d_a0.680_rx0.240_ry0.280_N12.csv
a0.680_rx0.240_ry0.280_N16,0.68,0.24,0.28,16,0.2232794205942174,0.2232794205942174,160.5623518455809,True,0.5545882456394711,1.8,2d_a0.680_rx0.240_ry0.280_N16.csv
a0.680_rx0.240_ry0.280_N20,0.68,0.24,0.28,20,0.16550843939093302,0.16550843939093302,137.7885456268134,True,1.3671047353490349,2.0,2d_a0.680_rx0.240_ry0.280_N20.csv
a0.680_rx0.240_ry0.320_N12,0.68,0.24,0.32,12,0.39933730174268783,0.39933730174268783,155.34427420292423,True,1.2237710368385726,1.5,2d_a0.680_rx0.240_ry0.320_N12.csv
a0.680_rx0.240_ry0.320_N16,0.68,0.24,0.32,16,0.34331695156831776,0.34331695156831776,160.5623518455809,True,0.6547461543580301,1.8,2d_a0.680_rx0.240_ry0.320_N16.csv
a0.680_rx0.240_ry0.320_N20,0.68,0.24,0.32,20,0.27974718831780454,0.27974718831780454,160.5623518455809,True,0.8696321298421313,2.0,2d_a0.680_rx0.240_ry0.320_N20.csv
a0.680_rx0.240_ry0.360_N12,0.68,0.24,0.36,12,0.4241793353184001,0.4241793353184001,157.7956992317529,True,1.1832174647087665,1.5,2d_a0.680_rx0.240_ry0.360_N12.csv
