wavelength_nm,transmission
1.633830753219067446e+03,1.350064503610536315e-01
1.634340218577586029e+03,1.349454086040763889e-01
1.634850001760838040e+03,1.348930055588522248e-01
1.635360103066323745e+03,1.348492048000653754e-01
1.635870522791915391e+03,1.348139661606928275e-01
1.636381261235856073e+03,1.347872457206770735e-01
1.636892318696762686e+03,1.347689957839626751e-01
1.637403695473624339e+03,1.347591648446370416e-01
1.637915391865804622e+03,1.347576975431792334e-01
1.638427408173040703e+03,1.347645346141116696e-01
1.638939744695445142e+03,1.347796128260091986e-01
1.639452401733506122e+03,1.348028649157330117e-01
1.639965379588087671e+03,1.348342195179343950e-01
1.640478678560430581e+03,1.348736010919531214e-01
1.640992298952152623e+03,1.349209298474391416e-01
1.641506241065249696e+03,1.349761216707912048e-01
1.642020505202096047e+03,1.350390880540630889e-01
1.642535091665445407e+03,1.351097360282494386e-01
1.643050000758430087e+03,1.351879681030939973e-01
1.643565232784563705e+03,1.352736822145750584e-01
1.644080788047740270e+03,1.353667716828455825e-01
1.644596666852235103e+03,1.354671251814751065e-01
1.645112869502705962e+03,1.355746267203049304e-01
1.645629396304192596e+03,1.356891556430357415e-01
1.646146247562118560e+03,1.358105866411148943e-01
1.646663423582290989e+03,1.359387897853790161e-01
1.647180924670901049e+03,1.360736305759196740e-01
1.647698751134525764e+03,1.362149700118264750e-01
1.648216903280126871e+03,1.363626646808627496e-01
1.648735381415053553e+03,1.365165668698169466e-01
1.649254185847040844e+03,1.366765246955633506e-01
1.649773316884211454e+03,1.368423822567620685e-01
1.650292774835076216e+03,1.370139798062185998e-01
1.650812560008534547e+03,1.371911539426529103e-01
1.651332672713875581e+03,1.373737378217556593e-01
1.651853113260777945e+03,1.375615613848509555e-01
1.652373881959310893e+03,1.377544516040926925e-01
1.652894979119934760e+03,1.379522327425108941e-01
1.653416405053501421e+03,1.381547266269357033e-01
1.653938160071255879e+03,1.383617529319254302e-01
1.654460244484835584e+03,1.385731294721782025e-01
1.654982658606271571e+03,1.387886725011817646e-01
1.655505402747989137e+03,1.390081970132573397e-01
1.656028477222808306e+03,1.392315170465692475e-01
1.656551882343945408e+03,1.394584459838674462e-01
1.657075618425011498e+03,1.396887968484186449e-01
1.657599685780015534e+03,1.399223825920248021e-01
1.658124084723363239e+03,1.401590163724275029e-01
1.658648815569858698e+03,1.403985118168634139e-01
1.659173878634704351e+03,1.406406832694201414e-01
1.659699274233501683e+03,1.408853460196372587e-01
1.660225002682252807e+03,1.411323165093759102e-01
1.660751064297359335e+03,1.413814125165901714e-01
1.661277459395625101e+03,1.416324533128554275e-01
1.661804188294254800e+03,1.418852597950309158e-01
1.662331251310855805e+03,1.421396545866372985e-01
1.662858648763438850e+03,1.423954621118861674e-01
1.663386380970418486e+03,1.426525086380122376e-01
1.663914448250613077e+03,1.429106222887640554e-01
1.664442850923246397e+03,1.431696330272270168e-01
1.664971589307947397e+03,1.434293726104182154e-01
1.665500663724751576e+03,1.436896745156053812e-01
1.666030074494101655e+03,1.439503738409490252e-01
1.666559821936847356e+03,1.442113071821421733e-01
1.667089906374246766e+03,1.444723124878690423e-01
1.667620328127967014e+03,1.447332288974159664e-01
1.668151087520084502e+03,1.449938965635230170e-01
1.668682184873086499e+03,1.452541564646707695e-01
1.669213620509870225e+03,1.455138502115551347e-01
1.669745394753744677e+03,1.457728198511382689e-01
1.670277507928430850e+03,1.460309076745942569e-01
1.670809960358062881e+03,1.462879560335313134e-01
1.671342752367188268e+03,1.465438071695978339e-01
1.671875884280768105e+03,1.467983030636665076e-01
1.672409356424178668e+03,1.470512853089648853e-01
1.672943169123211646e+03,1.473025950143982687e-01
1.673477322704075050e+03,1.475520727426742895e-01
1.674011817493393210e+03,1.477995584888317504e-01
1.674546653818208142e+03,1.480448917028164835e-01
1.675081832005979550e+03,1.482879113617033284e-01
1.675617352384586638e+03,1.485284560948393062e-01
1.676153215282326983e+03,1.487663643642358480e-01
1.676689421027919479e+03,1.490014747048020727e-01
1.677225969950502758e+03,1.492336260250537172e-01
1.677762862379636999e+03,1.494626579686352263e-01
1.678300098645305525e+03,1.496884113397842497e-01
1.678837679077913435e+03,1.499107285882917417e-01
1.679375604008289429e+03,1.501294543558517880e-01
1.679913873767686709e+03,1.503444360783470768e-01
1.680452488687782989e+03,1.505555246425397675e-01
1.680991449100681393e+03,1.507625750911638363e-01
1.681530755338911831e+03,1.509654473697523425e-01
1.682070407735430308e+03,1.511640071114067618e-01
1.682610406623620975e+03,1.513581264476775157e-01
1.683150752337295671e+03,1.515476848386364261e-01
1.683691445210696202e+03,1.517325699122213933e-01
1.684232485578492970e+03,1.519126783005173564e-01
1.684773873775787024e+03,1.520879164625411617e-01
1.685315610138110287e+03,1.522582014811894313e-01
1.685857695001426919e+03,1.524234618172667644e-01
1.686400128702132633e+03,1.525836380150723537e-01
1.686942911577056748e+03,1.527386833351965789e-01
1.687486043963462635e+03,1.528885643086579371e-01
1.688029526199047268e+03,1.530332611940537768e-01
1.688573358621943953e+03,1.531727683224874126e-01
1.689117541570720959e+03,1.533070943213508119e-01
1.689662075384383570e+03,1.534362621969685148e-01
1.690206960402374079e+03,1.535603092683590631e-01
